"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VH8PU2RM","conferencePaper","2005","Bolin, Michael; Webber, Matthew; Rha, Philip; Wilson, Tom; Miller, Robert C.","Automation and customization of rendered web pages","Proceedings of the 18th annual ACM symposium on User interface software and technology  - UIST '05","978-1-59593-271-6","","10.1145/1095034.1095062","http://portal.acm.org/citation.cfm?doid=1095034.1095062","On the desktop, an application can expect to control its user interface down to the last pixel, but on the World Wide Web, a content provider has no control over how the client will view the page, once delivered to the browser. This creates an opportunity for end-users who want to automate and customize their web experiences, but the growing complexity of web pages and standards prevents most users from realizing this opportunity. We describe Chickenfoot, a programming system embedded in the Firefox web browser, which enables end-users to automate, customize, and integrate web applications without examining their source code. One way Chickenfoot addresses this goal is a novel technique for identifying page components by keyword pattern matching. We motivate this technique by studying how users name web page components, and present a heuristic keyword matching algorithm that identifies the desired component from the user’s name.","2005","2019-12-27 16:26:22","2019-12-27 20:41:26","2019-12-27 16:26:22","163","","","","","","","","","","","ACM Press","Seattle, WA, USA","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/JS89G2G2/Bolin et al. - 2005 - Automation and customization of rendered web pages.pdf","","Wildcard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 18th annual ACM symposium","","","","","","","","","","","","","","",""
"2DP2QBF5","book","2000","diSessa, Andrea A.","Changing Minds: Computers, Learning, and Literacy","","","","","","","2000","2019-12-28 03:14:24","2019-12-28 03:14:24","","","","","","","","Changing Minds","","","","","MIT Press","Cambridge, MA, USA","","","","","","ACM Digital Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GL6TS6Q3","conferencePaper","2008","Leshed, Gilly; Haber, Eben M.; Matthews, Tara; Lau, Tessa","CoScripter: Automating & Sharing How-to Knowledge in the Enterprise","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","978-1-60558-011-1","","10.1145/1357054.1357323","http://doi.acm.org/10.1145/1357054.1357323","Modern enterprises are replete with numerous online processes. Many must be performed frequently and are tedious, while others are done less frequently yet are complex or hard to remember. We present interviews with knowledge workers that reveal a need for mechanisms to automate the execution of and to share knowledge about these processes. In response, we have developed the CoScripter system (formerly Koala [11]), a collaborative scripting environment for recording, automating, and sharing web-based processes. We have deployed CoScripter within a large corporation for more than 10 months. Through usage log analysis and interviews with users, we show that CoScripter has addressed many user automation and sharing needs, to the extent that more than 50 employees have voluntarily incorporated it into their work practice. We also present ways people have used CoScripter and general issues for tools that support automation and sharing of how-to knowledge.","2008","2019-12-28 03:53:36","2019-12-28 03:53:36","2019-12-28 03:53:36","1719–1728","","","","","","CoScripter","CHI '08","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","event-place: Florence, Italy","","/Users/geoffreylitt/Zotero/storage/RHE55DIG/Leshed et al. - 2008 - CoScripter Automating & Sharing How-to Knowledge .pdf","","","automation; knowledge sharing; procedural knowledge; programming-by-demonstration; scripting; user study; wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQ2ZX2YG","webpage","2019","Talwar, Kartik","gmail.js","GitHub","","","","https://github.com/KartikTalwar/gmail.js","Gmail JavaScript API","2019","2019-12-28 15:54:50","2019-12-28 15:55:33","2019-12-28 15:54:50","","","","","","","","","","","","","","en","","","","","","","","","/Users/geoffreylitt/Zotero/storage/EQIGCWJM/master.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I42HLTPR","webpage","","Streak","InboxSDK","","","","","https://www.inboxsdk.com/","","","2019-12-28 15:55:40","2019-12-28 15:55:52","2019-12-28 15:55:40","","","","","","","","","","","","","","","","","","","","","","","/Users/geoffreylitt/Zotero/storage/TK2FCLM5/www.inboxsdk.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZBJQDYH","webpage","2019","","End-user programming","Ink and Switch","","","","https://www.inkandswitch.com/end-user-programming.html","A vision for empowered computing that reaches back forty years. Our research lab examines why it has been so hard to achieve.","2019-03","2019-12-28 16:31:09","2020-05-16 01:46:57","2019-12-28 16:31:09","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/geoffreylitt/Zotero/storage/VN9ZZWVZ/end-user-programming.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBH6CCC8","conferencePaper","2000","Beaudouin-Lafon, Michel; Mackay, Wendy E.","Reification, Polymorphism and Reuse: Three Principles for Designing Visual Interfaces","Proceedings of the Working Conference on Advanced Visual Interfaces","978-1-58113-252-6","","10.1145/345513.345267","http://doi.acm.org/10.1145/345513.345267","This paper presents three design principles to support the development of large-scale applications and take advantage of recent research in new interaction techniques: Reification turns concepts into first class objects, polymorphism permits commands to be applied to objects of different types, and reuse makes both user input and system output accessible for later use. We show that the power of these principles lies in their combination. Reification creates new objects that can be acted upon by a small set of polymorphic commands, creating more opportunities for reuse. The result is a simpler yet more powerful interface. To validate these principles, we describe their application in the redesign of a complex interface for editing and simulating Coloured Petri Nets. The cpn2000 interface integrates floating palettes, toolglasses and marking menus in a consistent manner with a new metaphor for managing the workspace. It challenges traditional ideas about user interfaces, getting rid of pull-down menus, scrollbars, and even selection, while providing the same or greater functionality. Preliminary tests with users show that they find the new system both easier to use and more efficient.","2000","2019-12-28 19:01:24","2019-12-28 19:01:24","2019-12-28 19:01:24","102–109","","","","","","Reification, Polymorphism and Reuse","AVI '00","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","event-place: Palermo, Italy","","/Users/geoffreylitt/Zotero/storage/ZUTWDQ9X/Beaudouin-Lafon and Mackay - 2000 - Reification, Polymorphism and Reuse Three Princip.pdf","","","design principles; direct manipulation; instrumental interaction; interaction model; polymorphism; reification; reuse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWFW8JHZ","webpage","2018","Berners-Lee, Tim","One Small Step for the Web…","Medium","","","","https://medium.com/@timberners_lee/one-small-step-for-the-web-87f92217d085","I’ve always believed the web is for everyone. That’s why I and others fight fiercely to protect it. The changes we’ve managed to bring have…","2018-09-29","2019-12-28 19:32:39","2019-12-28 19:33:06","2019-12-28 19:32:39","","","","","","","","","","","","","","en","","","","","","","","","/Users/geoffreylitt/Zotero/storage/MSSQR3BL/one-small-step-for-the-web-87f92217d085.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA9QUA7A","conferencePaper","2015","Klokmose, Clemens N.; Eagan, James R.; Baader, Siemen; Mackay, Wendy; Beaudouin-Lafon, Michel","Webstrates: Shareable Dynamic Media","Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology - UIST '15","978-1-4503-3779-3","","10.1145/2807442.2807446","http://dl.acm.org/citation.cfm?doid=2807442.2807446","We revisit Alan Kay’s early vision of dynamic media that blurs the distinction between documents and applications. We introduce shareable dynamic media that are malleable by users, who may appropriate them in idiosyncratic ways; shareable among users, who collaborate on multiple aspects of the media; and distributable across diverse devices and platforms. We present Webstrates, an environment for exploring shareable dynamic media. Webstrates augment web technology with real-time sharing. They turn web pages into substrates, i.e. software entities that act as applications or documents depending upon use. We illustrate Webstrates with two implemented case studies: users collaboratively author an article with functionally and visually different editors that they can personalize and extend at run-time; and they orchestrate its presentation and audience participation with multiple devices. We demonstrate the simplicity and generative power of Webstrates with three additional prototypes and evaluate it from a systems perspective.","2015","2019-12-29 16:57:41","2019-12-29 16:57:56","2019-12-29 16:57:41","280-290","","","","","","Webstrates","","","","","ACM Press","Daegu, Kyungpook, Republic of Korea","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/PZI6XAMQ/Klokmose et al. - 2015 - iWebstratesi Shareable Dynamic Media.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 28th Annual ACM Symposium","","","","","","","","","","","","","","",""
"L3BJ3BSG","journalArticle","1977","Kay, A.; Goldberg, A.","Personal Dynamic Media","Computer","","1558-0814","10.1109/C-M.1977.217672","","The Learning Research Group at Xerox Palo Alto Research Center is concerned with all aspects of the communication and manipulation of knowledge. We design, build, and use dynamic media which can be used by human beings of all ages. Several years ago, we crystallized our dreams into a design idea for a personal dynamic medium the size of a notebook (the Dynabook) which could be owned by everyone and could have the power to handle virtually all of its owner's information-related needs. Towards this goal we have designed and built a communications system: the Smalltalk language, implemented on small computers we refer to as ""interim Dynabooks."" We are exploring the use of this system as a programming and problem solving tool; as an interactive memory for the storage and manipulation of data; as a text editor; and as a medium for expression through drawing, painting, animating pictures, and composing and generating music. (Figure 1 is a view of this interim Dynabook.)","1977-03","2019-12-29 17:02:44","2019-12-29 17:03:03","","31-41","","3","10","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/geoffreylitt/Zotero/storage/Q3SGCHYI/Kay and Goldberg - 1977 - Personal Dynamic Media.pdf; /Users/geoffreylitt/Zotero/storage/8Q36BUGB/1646405.html","","","Animation; Computational modeling; Crystallization; Embedded computing; Information retrieval; Manipulator dynamics; Problem-solving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYFGSBLU","conferencePaper","2006","Huynh, David F.; Miller, Robert C.; Karger, David R.","Enabling web browsers to augment web sites' filtering and sorting functionalities","Proceedings of the 19th annual ACM symposium on User interface software and technology - UIST '06","978-1-59593-313-3","","10.1145/1166253.1166274","http://dl.acm.org/citation.cfm?doid=1166253.1166274","Existing augmentations of web pages are mostly small cosmetic changes (e.g., removing ads) and minor addition of third-party content (e.g., product prices from competing sites). None leverages the structured data presented in web pages. This paper describes Sifter, a web browser extension that can augment a well-structured web site with advanced ﬁltering and sorting functionality. These added features work inside the site’s own pages, preserving the site’s presentational style and the user’s context. Sifter contains an algorithm that scrapes structured data out of well-structured web pages while usually requiring no user intervention. We tested Sifter on real web sites and real users and found that people could use Sifter to perform sophisticated queries and high-level analyses on sizable data collections on the Web. We propose that web sites can be similarly augmented with other sophisticated data-centric functionality, giving users new beneﬁts over the existing Web.","2006","2020-01-03 16:32:33","2020-01-03 16:32:33","2020-01-03 16:32:33","125","","","","","","","","","","","ACM Press","Montreux, Switzerland","en","","","","","DOI.org (Crossref)","","","","/Users/geoffreylitt/Zotero/storage/8WA9RXE3/Huynh et al. - 2006 - Enabling web browsers to augment web sites' filter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 19th annual ACM symposium","","","","","","","","","","","","","","",""
